TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 10:54:29,song_thrush_observed.csv,1.756731242213545093671864246,0.657,0.438,4.455,0.014,0.496,0.015,4.36,11.15,10.82,5.339,14.232,18.411,10.053,5.560,5.976,5.143,0.223,8.47,7.715,3.591,11.839,1.751
2026-05-06 10:54:29,song_thrush_observed.csv,2.898233149953951527086912455,0.462,0.34,5.937,0.07,0.55,0.15,3.02,11.14,10.74,2.272,10.434,3.085,17.783,2.798,1.83,3.767,0.082,10.48,11.882,13.674,10.089,1.798
2026-05-06 10:54:30,song_thrush_observed.csv,0.8201648095952750767356099365,0.494,3.834,1.588,0.071,0.213,0.108,4.2,11.33,7.81,2.54,5.095,7.414,2.776,5.516,6.441,4.59,0.136,8.41,6.410,1.195,11.626,1.099
2026-05-06 10:54:30,song_thrush_observed.csv,1.009737481417848657867193413,0.788,2.588,1.994,0.054,0.174,0.411,4.36,10.77,7.44,2.937,4.647,7.364,1.93,8.470,11.697,5.244,0.238,8.62,10.843,10.723,10.963,1.342
2026-05-06 10:54:30,song_thrush_observed.csv,0.8047728279392200520983052222,0.73,0.999,1.793,0.064,0.54,0.414,4.39,10.53,10.17,6.35,7.697,6.214,9.18,9.154,4.527,13.782,0.245,8.82,9.842,8.917,10.768,1.18
2026-05-06 10:54:30,song_thrush_observed.csv,1.598424246557258803015963182,0.861,3.439,2.206,0.013,0.498,0.246,2.69,11.52,11.25,2.261,7.570,3.587,11.553,1.952,1.356,2.547,0.238,7.71,6.930,3.684,10.175,1.355
2026-05-06 10:54:31,song_thrush_observed.csv,1.400616279447842708331135091,0.473,1.191,5.733,0.048,0.251,0.278,3.45,10.88,6.78,7.687,9.279,3.31,15.248,12.612,13.901,11.324,0.16,9.73,6.824,6.25,7.398,0.862
2026-05-06 10:54:31,song_thrush_observed.csv,1.105871867576011561716393608,0.807,3.038,4.896,0.062,0.61,0.151,2.05,11.55,9.54,3.432,1.818,0.489,3.147,12.010,13.206,10.815,0.058,8.14,11.524,9.532,13.515,0.87
2026-05-06 10:54:31,song_thrush_observed.csv,1.566733089471642889878277123,0.524,3.995,2.655,0.022,0.159,0.37,1.65,11.08,6.85,2.8,13.113,15.392,10.834,8.336,10.639,6.033,0.062,8.7,5.104,4.576,5.632,1.194
2026-05-06 10:54:32,song_thrush_observed.csv,1.623355030497619689055133798,0.605,1.182,1.415,0.028,0.236,0.072,3.33,11.0,7.03,7.305,11.156,13.25,9.062,6.781,6.761,6.801,0.221,7.76,4.708,4.136,5.280,0.9
2026-05-06 10:54:32,song_thrush_observed.csv,1.055502437352921146646437506,0.486,3.818,3.814,0.079,0.223,0.406,3.74,1.43,7.53,5.726,6.854,5.162,8.545,4.578,3.924,5.232,0.048,8.56,9.660,11.116,8.205,0.989
2026-05-06 10:54:32,song_thrush_observed.csv,1.463945487271305022700585086,0.74,1.526,2.999,0.006,0.589,0.072,2.38,1.18,8.03,5.737,5.130,5.305,4.954,6.432,11.951,0.912,0.126,7.74,5.346,4.595,6.096,1.058
2026-05-06 10:54:33,song_thrush_observed.csv,1.092052233749801950761195688,0.911,3.568,5.187,0.041,0.729,0.177,4.27,11.38,10.09,0.868,12.346,10.197,14.495,9.934,10.275,9.594,0.094,9.64,10.062,9.427,10.697,1.732
2026-05-06 10:54:33,song_thrush_observed.csv,1.512271503097791616794364508,0.657,1.773,4.858,0.038,0.675,0.001,2.85,11.55,9.6,7.414,18.092,16.184,20.000,9.725,10.454,8.996,0.011,10.28,7.580,1.183,13.978,1.731
2026-05-06 10:54:33,song_thrush_observed.csv,1.736585628620508864898118701,0.632,1.408,4.917,0.008,0.484,0.445,4.33,11.48,7.5,7.801,7.884,10.328,5.441,5.508,2.855,8.162,0.085,8.95,0.484,0.426,0.543,0.97
2026-05-06 10:54:33,song_thrush_observed.csv,1.110018120892136413088719824,0.786,0.348,3.163,0.022,0.359,0.328,4.2,11.14,9.97,5.963,9.721,0.494,18.948,9.952,10.960,8.944,0.049,9.75,9.237,11.172,7.302,1.306
2026-05-06 10:54:34,song_thrush_observed.csv,1.098257907900142935861237449,0.672,1.821,3.938,0.066,0.333,0.396,2.99,10.89,10.62,2.723,6.622,7.155,6.089,9.964,5.935,13.994,0.104,8.28,8.264,11.373,5.154,1.065
