TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:48:17,blue_tit_observed.csv,0.6119224779617098669204438326,0.808,0.439,1.805,0.367,0.339,0.023,1.93,11.33,10.98,9.798,5.565,4.154,6.976,1.222,1.139,1.305,0.069,7.92,8.398,10.414,6.381,0.915,0.047,12.254,69.462,130.107,8.816
2026-05-06 21:48:17,blue_tit_observed.csv,0.2112474922692214221561367662,0.754,3.112,3.871,0.221,0.319,0.022,2.48,1.19,11.31,3.265,13.080,14.440,11.720,9.265,5.939,12.591,0.198,8.32,3.798,2.541,5.056,1.486,0.062,12.034,60.859,107.983,13.735
2026-05-06 21:48:17,blue_tit_observed.csv,0.6453131488979630224768607932,0.66,0.255,5.447,0.527,0.342,0.033,4.43,11.93,11.43,4.174,15.618,18.313,12.923,6.186,3.741,8.631,0.086,7.59,12.946,11.893,14.000,1.14,0.221,12.275,102.305,191.757,12.853
2026-05-06 21:48:18,blue_tit_observed.csv,1.284318791798101363423547268,0.66,2.933,4.227,0.25,0.145,0.027,2.59,10.78,11.14,4.022,10.646,11.553,9.74,5.684,4.092,7.277,0.099,7.57,4.842,3.421,6.262,0.947,0.139,12.095,102.798,196.643,8.953
2026-05-06 21:48:18,blue_tit_observed.csv,0.6742398400072951391923630039,1.136,2.72,1.523,0.485,0.672,0.012,3.01,10.55,8.9,2.283,11.525,8.78,14.27,5.416,4.746,6.086,0.229,6.56,9.836,7.835,11.838,0.809,0.297,12.165,62.462,117.029,7.895
2026-05-06 21:48:18,blue_tit_observed.csv,0.3185831921906289289838135961,0.872,1.678,2.362,0.251,0.701,0.007,2.54,11.85,11.26,10.99,5.626,5.699,5.554,3.388,3.5,3.275,0.067,5.51,10.681,11.877,9.485,1.392,0.036,12.026,101.512,193.621,9.402
2026-05-06 21:48:19,blue_tit_observed.csv,1.019197332133733902120763905,0.908,1.06,5.697,0.162,0.366,0.035,1.77,10.68,11.09,4.884,4.336,2.536,6.137,0.780,0.879,0.681,0.136,5.85,12.124,10.337,13.912,0.864,0.17,12.049,118.148,231.001,5.296
2026-05-06 21:48:19,blue_tit_observed.csv,0.4657857963603601996288516944,0.832,0.615,1.059,0.15,0.111,0.017,4.23,11.92,9.79,6.341,14.514,16.157,12.871,6.684,12.071,1.298,0.163,8.29,5.646,5.888,5.404,1.306,0.253,12.022,68.946,132.515,5.376
2026-05-06 21:48:19,blue_tit_observed.csv,0.9694108996839471442247651870,1.117,1.882,4.545,0.486,0.184,0.049,3.97,11.22,11.31,5.846,4.922,3.026,6.818,9.766,7.209,12.324,0.114,7.2,4.670,1.717,7.624,1.342,0.023,12.12,59.112,111.947,6.278
2026-05-06 21:48:20,blue_tit_observed.csv,0.3204454053238356315214209670,0.667,1.13,0.974,0.425,0.506,0.031,2.76,10.87,8.89,11.358,6.533,5.883,7.183,4.171,3.643,4.699,0.125,8.24,5.312,1.932,8.693,1.083,0.271,12.168,101.257,188.431,14.083
