TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 18:00:59,robin_observed.csv,0.3643510669094700686139833225,1.554,1.219,0.321,0.269,0.719,0.073,11.82,11.31,3.833,4.338,0.213,6.16,3.958,1.483
2026-05-05 18:00:59,robin_observed.csv,0.3138609466562256294403716566,0.406,0.915,1.154,0.353,0.383,0.222,1.44,11.67,4.493,4.873,0.14,8.09,3.694,1.369
2026-05-05 18:01:00,robin_observed.csv,0.8245255197766227518590178095,0.859,1.026,1.243,0.131,0.267,0.152,1.68,11.44,3.344,4.341,0.235,6.81,1.114,0.925
2026-05-05 18:01:00,robin_observed.csv,0.7494779037826187164395412689,1.325,0.858,1.841,0.187,0.373,0.342,2.13,11.77,4.965,5.04,0.333,5.51,2.748,1.073
2026-05-05 18:01:00,robin_observed.csv,0.3600581118097172887347647011,0.938,1.383,1.631,0.521,0.099,0.268,2.34,10.81,1.387,2.703,0.051,7.36,3.919,1.688
2026-05-05 18:01:00,robin_observed.csv,0.3601946660077642237445396625,1.843,1.221,0.568,0.097,0.876,0.084,2.13,1.18,0.966,1.666,0.24,6.32,1.251,1.614
2026-05-05 18:01:01,robin_observed.csv,0.6061576973922783802557693731,1.64,0.414,2.013,0.4,0.514,0.268,11.99,11.37,4.747,1.864,0.344,5.51,4.301,1.22
2026-05-05 18:01:01,robin_observed.csv,0.2927541063784480569799984336,0.648,0.285,2.493,0.56,0.145,0.305,1.6,11.06,1.491,1.306,0.218,7.12,2.969,1.291
2026-05-05 18:01:01,robin_observed.csv,0.5877352624792545509297746112,1.874,0.428,0.877,0.527,0.9,0.121,1.77,11.93,2.041,5.471,0.104,8.08,3.866,0.936
2026-05-05 18:01:02,robin_observed.csv,0.5743396818704160572489662045,0.717,0.535,1.263,0.542,0.527,0.297,1.83,11.03,2.263,4.357,0.175,6.81,1.448,1.784
2026-05-05 18:01:02,robin_observed.csv,0.8569460307263268126783330424,0.408,0.636,1.317,0.301,1.197,0.311,11.79,11.56,4.403,5.121,0.267,7.61,3.669,0.907
2026-05-05 18:01:02,robin_observed.csv,0.5413238359864432634234000297,1.104,0.261,0.507,0.521,0.233,0.322,2.5,1.02,0.916,4.522,0.215,6.68,4.344,0.866
2026-05-05 18:01:03,robin_observed.csv,0.6088800834265831150299278936,0.641,1.025,1.066,0.252,1.187,0.257,2.05,1.24,4.304,3.757,0.016,7.47,1.928,1.272
2026-05-05 18:01:03,robin_observed.csv,1.050286464928825690317979079,0.417,0.864,2.027,0.475,0.505,0.246,11.58,11.11,4.327,4.217,0.008,8.07,3.82,1.078
2026-05-05 18:01:03,robin_observed.csv,0.3186642311364683271925126169,1.387,1.058,1.033,0.458,0.674,0.236,2.44,11.96,1.972,2.322,0.226,5.7,2.91,1.393
2026-05-05 18:01:03,robin_observed.csv,0.4360364867021146663930589670,0.833,1.362,1.433,0.157,0.665,0.281,1.1,10.88,1.975,1.44,0.082,8.05,4.717,1.012
2026-05-05 18:01:04,robin_observed.csv,0.4419474860813416661448867979,0.756,0.958,1.906,0.259,0.329,0.337,11.62,11.86,2.367,3.529,0.213,6.7,3.855,1.149
