TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 17:59:48,mute_swan_observed.csv,0.4876064396475507035679568274,0.587,0.751,1.796,0.269,0.926,0.101,11.68,11.32,2.759,5.22,0.282,4.09,1.845,1.291
2026-05-05 17:59:49,mute_swan_observed.csv,0.6035013264628808292037532265,1.113,0.634,2.152,0.482,0.613,0.302,1.21,9.84,4.084,4.795,0.178,4.75,2.997,1.797
2026-05-05 17:59:49,mute_swan_observed.csv,0.5198792870031874843797906598,0.641,1.436,0.436,0.537,0.981,0.309,2.23,11.45,1.703,4.69,0.202,6.29,3.753,1.307
2026-05-05 17:59:49,mute_swan_observed.csv,0.5209090767668710893144261973,1.643,0.823,1.099,0.372,0.468,0.276,11.89,11.56,3.055,4.198,0.105,3.56,1.172,1.631
2026-05-05 17:59:50,mute_swan_observed.csv,0.6880325464842448769830081070,1.033,1.128,0.637,0.311,0.089,0.123,1.7,10.38,1.184,5.956,0.046,3.55,1.25,1.13
2026-05-05 17:59:50,mute_swan_observed.csv,0.5155689781676465935539150226,1.13,1.068,2.384,0.129,0.039,0.315,2.4,9.65,4.66,1.894,0.217,5.63,3.223,1.5
2026-05-05 17:59:50,mute_swan_observed.csv,0.4560050398733647906322247750,0.493,1.477,1.324,0.609,0.031,0.337,2.45,11.65,0.962,2.946,0.209,5.89,2.123,1.564
2026-05-05 17:59:51,mute_swan_observed.csv,0.8780976411229543123443034932,0.42,0.304,1.747,0.235,0.088,0.05,11.99,9.9,3.126,2.864,0.011,5.6,4.527,0.839
2026-05-05 17:59:51,mute_swan_observed.csv,0.4478371457300355830397530785,0.676,0.734,0.488,0.121,0.804,0.214,1.55,10.74,2.153,4.224,0.248,4.69,3.781,1.272
2026-05-05 17:59:51,mute_swan_observed.csv,0.5107985963287073532493633766,1.008,0.402,0.753,0.463,1.039,0.211,11.78,9.63,3.031,1.402,0.223,5.96,1.984,1.667
2026-05-05 17:59:51,mute_swan_observed.csv,0.4826190024829321590855932506,1.373,0.443,0.598,0.337,0.967,0.26,1.31,10.15,2.834,4.743,0.086,4.17,3.79,1.331
2026-05-05 17:59:52,mute_swan_observed.csv,0.4719140265114098326060646579,0.616,1.498,0.713,0.359,0.911,0.24,1.47,11.3,2.592,3.319,0.105,4.27,3.24,1.161
2026-05-05 17:59:52,mute_swan_observed.csv,0.4353698415830992080202117441,1.093,0.727,1.885,0.239,0.228,0.224,1.87,10.36,4.629,3.547,0.141,5.84,1.033,1.539
2026-05-05 17:59:52,mute_swan_observed.csv,0.7084506897524777059314874572,1.644,0.803,1.874,0.057,0.585,0.327,1.48,10.88,0.841,5.255,0.032,3.9,2.46,0.875
2026-05-05 17:59:53,mute_swan_observed.csv,0.4060886724027389848164572555,1.033,0.982,2.461,0.286,0.587,0.183,1.83,11.26,1.114,4.137,0.015,4.04,1.713,1.449
2026-05-05 17:59:53,mute_swan_observed.csv,0.6239747465412148843617319978,1.8,0.534,1.626,0.118,0.743,0.279,11.71,10.48,2.657,5.895,0.191,4.33,1.047,1.531
2026-05-05 17:59:53,mute_swan_observed.csv,0.6427942806440009189271122595,1.829,0.655,1.698,0.465,0.697,0.071,1.76,10.11,3.805,3.816,0.025,6.08,4.155,1.592
2026-05-05 17:59:54,mute_swan_observed.csv,0.5604468443924126641406262317,1.899,0.345,2.394,0.624,1.042,0.084,1.57,11.65,2.72,2.736,0.29,6.26,1.993,1.093
2026-05-05 17:59:54,mute_swan_observed.csv,0.4398345998452091665789142848,1.502,1.325,2.067,0.416,0.058,0.156,1.22,9.64,1.813,1.62,0.261,3.61,4.57,1.456
2026-05-05 17:59:54,mute_swan_observed.csv,0.6831766572703619415097185874,1.531,0.886,1.437,0.56,0.192,0.198,2.4,11.78,2.056,1.412,0.027,4.36,2.25,1.166
2026-05-05 17:59:54,mute_swan_observed.csv,0.4257275775793723464435374725,1.85,1.28,0.547,0.337,0.281,0.313,2.27,9.59,3.154,3.337,0.224,4.68,1.791,1.361
2026-05-05 17:59:55,mute_swan_observed.csv,0.4264246757008075630177321889,1.661,1.068,1.247,0.51,0.337,0.281,11.55,9.62,2.53,2.077,0.08,6.43,1.323,1.482
2026-05-05 17:59:55,mute_swan_observed.csv,0.4257061989126676418510203614,1.483,1.128,1.342,0.227,0.82,0.131,1.44,11.34,3.022,3.329,0.145,5.73,4.406,1.331
2026-05-05 17:59:55,mute_swan_observed.csv,1.046669607837381955383811799,1.797,1.083,1.88,0.38,0.116,0.118,2.09,9.74,3.541,5.939,0.273,4.98,1.735,0.806
2026-05-05 17:59:56,mute_swan_observed.csv,0.5742489805008087356137885076,0.526,1.468,1.806,0.587,0.693,0.198,1.6,11.81,2.42,3.424,0.183,5.0,2.839,0.853
2026-05-05 17:59:56,mute_swan_observed.csv,0.6117737038592212290646171217,1.832,0.878,2.077,0.192,0.86,0.34,1.17,10.72,1.499,3.77,0.039,6.04,1.646,0.898
2026-05-05 17:59:56,mute_swan_observed.csv,0.6823026016164148883945311962,0.571,0.749,2.088,0.165,0.697,0.193,11.61,11.3,3.048,5.672,0.117,3.82,2.396,0.974
2026-05-05 17:59:57,mute_swan_observed.csv,0.7601355269941890310845242994,0.56,0.871,2.117,0.516,0.715,0.168,2.32,10.17,3.016,4.597,0.005,4.41,1.335,0.944
2026-05-05 17:59:57,mute_swan_observed.csv,0.2969639506556861438288178946,1.498,0.954,2.061,0.417,0.624,0.206,2.1,10.0,3.864,4.424,0.214,4.82,4.069,1.636
2026-05-05 17:59:57,mute_swan_observed.csv,0.6447963648957210678518191595,0.755,0.986,1.028,0.47,0.849,0.305,11.68,10.45,3.411,2.176,0.034,3.9,3.849,1.677
2026-05-05 17:59:57,mute_swan_observed.csv,0.5524808100306650529071573693,0.503,1.474,1.448,0.217,1.19,0.242,1.86,10.56,2.082,5.847,0.082,5.7,4.782,1.735
2026-05-05 17:59:58,mute_swan_observed.csv,0.8970766631428271984034837781,1.881,0.286,2.165,0.308,0.494,0.201,1.18,11.34,0.824,1.647,0.212,3.74,3.919,1.057
2026-05-05 17:59:58,mute_swan_observed.csv,0.4609819629434493699957050997,1.187,1.117,0.44,0.316,0.268,0.281,11.82,11.75,2.862,2.874,0.278,3.96,4.082,1.056
2026-05-05 17:59:58,mute_swan_observed.csv,0.4725818124138916470390987996,1.498,1.418,1.208,0.356,1.126,0.151,1.14,11.85,4.277,3.013,0.308,3.83,1.561,0.894
2026-05-05 17:59:59,mute_swan_observed.csv,0.5298734627934340420941159149,1.26,0.344,0.91,0.589,1.139,0.214,1.66,9.64,4.473,2.943,0.235,4.02,2.187,0.893
2026-05-05 17:59:59,mute_swan_observed.csv,0.5104297703379453795511351619,1.425,0.642,2.391,0.131,0.583,0.228,1.78,11.17,1.397,1.582,0.253,4.03,3.689,1.356
2026-05-05 17:59:59,mute_swan_observed.csv,0.6101619369323376882301352368,1.471,1.19,1.983,0.519,0.149,0.129,11.97,11.37,4.991,2.692,0.241,5.19,4.996,1.002
2026-05-05 18:00:00,mute_swan_observed.csv,0.5463738843719332768275956873,0.442,0.406,2.267,0.138,1.085,0.041,1.21,10.36,2.719,1.173,0.107,4.1,4.809,1.072
