TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 17:54:54,goldfinch_observed.csv,0.7376693349287106653835438583,1.668,0.554,0.458,0.185,0.883,0.292,1.82,10.89,4.609,4.069,0.018,8.11,2.475,1.203
2026-05-05 17:54:54,goldfinch_observed.csv,0.7625460002501694394673591152,1.439,0.654,1.143,0.192,1.194,0.292,2.18,10.61,4.893,3.524,0.089,9.3,4.198,1.457
2026-05-05 17:54:54,goldfinch_observed.csv,0.4848195510352025683834306100,1.142,0.618,2.131,0.269,0.718,0.03,1.26,10.58,2.391,2.309,0.348,10.17,4.642,1.508
2026-05-05 17:54:55,goldfinch_observed.csv,0.7023098836992500028126828134,0.652,1.106,1.998,0.301,0.763,0.294,1.02,10.57,3.138,1.988,0.32,9.37,1.553,1.511
2026-05-05 17:54:55,goldfinch_observed.csv,0.5952746215297307282250775011,0.419,1.329,1.401,0.092,0.107,0.147,2.43,11.73,1.905,4.283,0.068,8.05,1.912,1.257
2026-05-05 17:54:55,goldfinch_observed.csv,0.6924262168605843489234883373,0.472,0.333,1.657,0.305,0.948,0.086,11.56,11.26,4.866,1.953,0.311,9.34,1.529,0.931
2026-05-05 17:54:55,goldfinch_observed.csv,0.5065024977127416722015137433,1.896,0.211,0.465,0.537,1.008,0.048,1.85,11.1,1.131,2.127,0.135,9.7,3.101,1.317
2026-05-05 17:54:56,goldfinch_observed.csv,0.4179773918900644980326869299,0.69,0.466,1.659,0.173,0.531,0.156,1.74,11.11,1.177,3.802,0.222,9.46,3.08,1.087
2026-05-05 17:54:56,goldfinch_observed.csv,0.9683082883293930522229211034,1.806,0.793,1.315,0.389,0.177,0.123,2.29,11.75,1.504,2.074,0.189,8.03,4.987,1.229
2026-05-05 17:54:56,goldfinch_observed.csv,1.066746051272999780383078532,0.948,0.931,2.196,0.209,0.16,0.009,12.0,11.32,2.27,2.061,0.254,10.11,1.375,1.165
2026-05-05 17:54:57,goldfinch_observed.csv,0.8104259485096554636966649105,0.859,0.265,2.286,0.176,0.71,0.203,1.03,11.34,1.733,3.307,0.024,8.1,4.083,1.116
2026-05-05 17:54:57,goldfinch_observed.csv,0.5282361327442459713313151643,1.09,0.753,1.593,0.265,0.63,0.257,1.22,11.62,2.997,5.864,0.262,8.98,2.924,1.456
2026-05-05 17:54:57,goldfinch_observed.csv,1.043844986040406902356369506,0.675,1.453,0.714,0.351,1.12,0.241,11.74,11.47,3.752,5.602,0.065,8.56,4.752,1.711
2026-05-05 17:54:58,goldfinch_observed.csv,1.700207619864173207543073928,1.846,0.405,2.374,0.353,0.346,0.076,11.57,11.34,2.56,3.949,0.059,10.27,3.455,1.185
2026-05-05 17:54:58,goldfinch_observed.csv,0.5585305254623439542397587880,0.507,1.43,2.498,0.374,0.65,0.254,1.77,11.67,0.891,4.441,0.102,7.62,3.998,0.999
2026-05-05 17:54:58,goldfinch_observed.csv,0.7524259012628181547552995390,0.985,1.26,2.442,0.538,1.036,0.157,11.99,1.29,2.094,1.231,0.222,7.88,2.955,1.224
2026-05-05 17:54:58,goldfinch_observed.csv,0.9412583439501940736692432831,1.334,1.197,1.329,0.213,0.607,0.046,1.16,11.67,3.812,5.488,0.092,9.61,3.75,1.202
2026-05-05 17:54:59,goldfinch_observed.csv,0.9036658276720879506488693614,0.96,0.276,1.942,0.282,0.081,0.346,11.81,11.27,4.089,2.503,0.135,8.81,3.335,1.69
2026-05-05 17:54:59,goldfinch_observed.csv,0.5900925286416131594621534682,0.991,1.093,1.25,0.243,1.075,0.05,1.65,10.89,3.511,2.336,0.27,8.19,2.952,1.343
2026-05-05 17:54:59,goldfinch_observed.csv,0.6505605214930935308146683992,1.423,0.861,1.092,0.333,1.036,0.339,2.23,10.74,2.112,5.327,0.321,7.81,4.031,1.752
2026-05-05 17:55:00,goldfinch_observed.csv,0.5913063146454077431890633018,1.257,1.468,1.011,0.432,0.693,0.007,1.28,11.95,2.873,4.52,0.246,7.7,2.484,1.443
2026-05-05 17:55:00,goldfinch_observed.csv,1.113896813787826397863993108,1.372,1.225,2.226,0.35,0.951,0.293,1.08,11.16,4.308,1.832,0.146,9.29,4.884,1.497
2026-05-05 17:55:00,goldfinch_observed.csv,0.6436704526942936368833678098,0.916,1.043,2.402,0.462,0.679,0.237,11.93,1.28,2.389,3.902,0.259,8.36,3.614,1.162
