TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:53:25,great_tit_observed.csv,0.1986354606326747638560938840,0.808,3.049,1.439,0.358,0.692,0.029,2.95,10.52,11.16,3.972,13.714,18.21,9.217,8.442,8.082,8.802,0.196,7.62,5.182,5.995,4.37,1.233,0.207,12.027,115.600,225.064,6.137
2026-05-06 21:53:25,great_tit_observed.csv,1.244322228747292882033037600,0.951,1.647,5.301,0.141,0.178,0.034,4.14,11.57,10.62,6.133,12.109,10.011,14.207,4.461,1.699,7.223,0.145,6.94,4.342,8.312,0.371,1.064,0.341,12.186,72.203,133.261,11.145
2026-05-06 21:53:25,great_tit_observed.csv,0.4123336665843012336867063091,0.886,0.782,0.853,0.102,0.299,0.022,4.86,11.2,9.5,2.845,2.576,2.320,2.833,8.422,7.423,9.42,0.12,6.52,5.518,8.158,2.877,1.522,0.096,12.244,100.214,191.52,8.907
2026-05-06 21:53:26,great_tit_observed.csv,1.362850398590503479848546732,0.911,3.68,5.825,0.119,0.291,0.033,3.96,11.65,10.8,5.817,5.146,5.243,5.049,1.437,1.510,1.364,0.099,8.26,6.466,5.002,7.929,0.911,0.313,12.143,61.328,116.757,5.9
2026-05-06 21:53:26,great_tit_observed.csv,0.8946767902436443978486876566,0.823,2.587,4.425,0.157,0.097,0.02,5.46,1.47,9.79,9.048,9.894,15.166,4.622,7.237,13.209,1.265,0.095,8.4,3.952,2.613,5.291,1.412,0.062,12.182,91.198,178.378,4.019
2026-05-06 21:53:26,great_tit_observed.csv,0.3263105304406333083134916174,0.735,3.211,4.857,0.438,0.271,0.029,4.03,10.56,9.71,8.314,9.142,5.571,12.712,6.938,13.319,0.557,0.03,7.36,7.542,4.34,10.743,1.695,0.075,12.014,118.623,225.661,11.585
2026-05-06 21:53:27,great_tit_observed.csv,1.293406201496918064898441320,0.888,1.515,3.246,0.306,0.169,0.005,4.97,10.52,10.91,11.304,3.218,0.646,5.79,1.868,1.265,2.472,0.003,8.27,2.104,2.278,1.931,0.848,0.246,12.251,94.594,176.642,12.547
2026-05-06 21:53:27,great_tit_observed.csv,0.5561345192225759584518189236,0.74,1.549,5.754,0.433,0.412,0.034,4.99,10.63,11.41,8.587,10.206,17.054,3.357,10.078,8.748,11.407,0.203,7.06,8.188,5.782,10.595,1.233,0.312,12.106,87.852,161.288,14.415
2026-05-06 21:53:27,great_tit_observed.csv,0.6679533389876039983477628044,0.849,3.933,0.647,0.361,0.744,0.042,2.56,11.07,11.33,11.191,12.320,7.14,17.5,8.983,8.588,9.378,0.171,6.96,3.745,4.233,3.257,1.696,0.187,12.19,97.752,181.545,13.958
2026-05-06 21:53:27,great_tit_observed.csv,0.6901065642132581654539627168,1.001,0.467,2.949,0.403,0.616,0.016,2.99,11.69,10.02,4.505,12.988,7.758,18.217,6.778,7.945,5.61,0.09,8.72,2.671,4.499,0.843,0.983,0.102,12.028,65.108,119.594,10.621
