TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:55:29,jay_observed.csv,2.254668483803745218935456093,1.024,0.799,2.411,0.015,0.68,0.009,10.46,10.04,10.69,5.259,17.926,18.577,17.275,3.232,3.681,2.783,0.141,7.52,7.894,4.215,11.572,0.839,0.136,12.047,106.298,197.363,15.232
2026-05-06 21:55:30,jay_observed.csv,6.240743725174125076282103000,1.183,3.005,3.324,0.089,0.393,0.049,8.6,9.26,9.72,2.57,1.437,1.622,1.252,8.044,8.38,7.709,0.088,8.7,9.132,13.479,4.786,1.231,0.276,12.153,102.182,198.709,5.656
2026-05-06 21:55:30,jay_observed.csv,0.7865009124552978110759698775,1.099,1.811,1.736,0.009,0.329,0.011,10.06,10.97,10.23,11.838,13.233,10.975,15.491,8.712,10.131,7.294,0.044,6.74,6.625,8.384,4.866,1.571,0.059,12.224,97.587,187.029,8.145
2026-05-06 21:55:30,jay_observed.csv,2.622028510953565460382173333,0.668,1.339,4.398,0.044,0.358,0.047,9.55,9.27,10.11,3.882,0.395,0.350,0.440,9.696,11.361,8.03,0.092,8.38,5.190,3.725,6.655,1.564,0.244,12.115,123.353,239.271,7.435
2026-05-06 21:55:31,jay_observed.csv,5.760836208183406040497391858,1.062,2.361,1.922,0.07,0.514,0.035,9.47,10.33,9.35,7.636,7.148,2.342,11.955,11.768,11.11,12.425,0.186,7.98,9.158,13.384,4.932,1.19,0.169,12.121,112.858,216.668,9.048
2026-05-06 21:55:31,jay_observed.csv,1.374522480721150193177480846,1.244,1.459,2.967,0.015,0.074,0.05,9.19,10.01,9.26,2.199,10.745,9.506,11.984,10.853,10.356,11.35,0.077,9.26,4.039,1.002,7.076,1.791,0.16,12.171,108.062,207.875,8.25
2026-05-06 21:55:31,jay_observed.csv,8.586336785573301803256463359,0.801,2.719,1.572,0.01,0.579,0.018,9.26,10.24,10.02,8.233,4.302,0.829,7.774,9.562,8.87,10.254,0.106,8.35,8.682,7.201,10.162,1.361,0.196,12.017,74.233,136.687,11.779
2026-05-06 21:55:31,jay_observed.csv,0.9126232552779676307766629165,1.186,3.504,1.638,0.029,0.164,0.028,10.62,11.41,9.42,7.695,5.994,9.641,2.348,7.653,11.79,3.516,0.006,8.12,11.374,10.933,11.814,1.53,0.097,12.2,89.490,164.615,14.366
2026-05-06 21:55:32,jay_observed.csv,1.549401535127482928938371951,0.677,1.307,3.068,0.083,0.678,0.016,10.63,9.96,10.81,10.69,16.745,16.293,17.197,2.424,2.962,1.887,0.204,9.0,4.014,7.045,0.983,1.148,0.005,12.253,54.012,102.96,5.063
2026-05-06 21:55:32,jay_observed.csv,1.463149928591313448655338944,0.845,1.535,4.027,0.034,0.078,0.044,9.37,9.2,10.07,4.754,1.351,0.512,2.19,4.918,1.178,8.657,0.03,8.31,3.296,3.187,3.406,1.721,0.263,12.138,68.136,130.062,6.21
