TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH
2026-05-23 20:04:42,shoveler_observed.csv,0.1793634381812280133196850546,1.016,1.77,3.018,0.0,1.086,0.742,2.27,10.86,2.66,4.428,0.14,7.59,1.369
2026-05-23 20:04:42,shoveler_observed.csv,0.2096967933474997436472959184,0.869,1.345,3.171,0.0,0.895,0.418,1.29,10.29,3.609,2.439,0.013,7.65,3.636
2026-05-23 20:04:43,shoveler_observed.csv,0.09688142913110693069122448980,1.089,0.513,0.913,0.0,1.489,0.076,1.72,10.04,3.907,4.513,0.188,6.93,1.668
2026-05-23 20:04:43,shoveler_observed.csv,0.3207626165823406468919123205,0.67,1.394,2.046,0.0,0.877,0.106,11.89,10.78,0.883,1.993,0.062,6.61,4.545
2026-05-23 20:04:43,shoveler_observed.csv,0.1670297020404697009676662887,0.771,1.613,1.739,0.0,1.009,0.276,2.1,10.77,2.194,1.514,0.249,7.47,4.519
2026-05-23 20:04:43,shoveler_observed.csv,0.1385637382969548371582495586,0.923,0.824,3.13,0.0,1.489,0.625,2.21,11.79,3.052,1.229,0.327,6.78,4.92
2026-05-23 20:04:44,shoveler_observed.csv,0.1131687744757428687985943470,0.754,1.535,2.123,0.0,0.915,0.267,2.49,11.66,2.735,5.739,0.283,6.81,4.059
2026-05-23 20:04:44,shoveler_observed.csv,0.2950182486776905419722238160,1.164,1.677,2.401,0.0,0.798,0.149,11.64,11.62,3.588,4.585,0.392,6.07,3.154
2026-05-23 20:04:44,shoveler_observed.csv,0.1232071165753376977346764633,0.84,0.759,2.398,0.0,0.999,0.413,1.8,11.08,2.15,4.476,0.161,7.88,2.668
2026-05-23 20:04:45,shoveler_observed.csv,0.1547420730468424720187075586,0.696,1.774,2.51,0.0,0.83,0.393,1.95,10.05,2.726,4.991,0.131,6.26,1.363
2026-05-23 20:04:45,shoveler_observed.csv,0.2138414605932902517473095428,0.888,1.347,3.068,0.0,1.22,0.684,2.34,10.72,3.291,1.226,0.359,5.53,1.629
2026-05-23 20:04:45,shoveler_observed.csv,0.1756458195020916230667619236,0.651,1.449,3.403,0.0,1.376,0.426,2.27,10.17,1.832,4.97,0.133,7.71,2.864
2026-05-23 20:04:45,shoveler_observed.csv,0.1117098519837587973960726379,0.678,0.866,2.024,0.0,1.319,0.176,1.94,10.6,2.641,2.275,0.174,6.73,3.376
